Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0,-5,2,7,-1,10,4,8,-1,1,2,2.7,4.62000481
0.2,-6,-3,-3,0,-1,-2,18,-2,0,1,0.2,6.562519841
0.4,0,0,2,-1,2,7,0,-1,0,1,1,2.357022604
0.6,-1,-3,0,9,-2,-5,10,1,4,-3,1,5.120763832
0.8,-4,-1,-1,-2,1,0,0,-3,1,0,-0.9,1.663329993
1,0,-1,0,3,1,0,0,-1,0,-2,0,1.333333333
