Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0,63,73,80,81,79,67,50,73,71,65,70.2,9.449279808
0.05,77,56,106,13,36,-5,5,20,30,39,37.7,34.03282729
0.1,40,28,29,14,21,28,24,34,27,41,28.6,8.221921916
0.15,-7,6,5,8,23,22,13,-7,17,20,10,11.02522361
0.2,-22,-9,-4,-4,11,20,10,-19,-1,9,-0.9,13.55195763
0.25,9,-15,11,10,11,12,10,11,10,6,7.5,8.072587359
0.3,-8,8,7,15,-27,-16,15,-6,15,-19,-1.6,15.66453886
0.35,-16,-3,14,5,3,-19,18,13,4,2,2.1,12.1330586
0.4,-4,-10,0,5,3,4,-25,-21,-2,11,-3.9,11.5705565
0.45,-22,-3,7,2,-2,6,5,0,0,5,-0.2,8.403702888
0.5,-29,-59,1,0,26,8,4,1,19,6,-2.3,24.54949649
