Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0,3,2,3,1,0,-3,5,0,2,-1,1.2,2.299758441
0.2,-8,-12,-5,-1,0,0,11,6,-7,-4,-2,6.798692685
0.4,-6,-1,-8,0,0,-4,-7,0,3,6,-1.7,4.498147767
0.6,-6,-5,3,-3,7,2,0,9,-4,-5,-0.2,5.308274463
0.8,-4,-5,-4,-2,-7,-3,-11,12,-5,0,-2.9,6.008327554
1,-15,0,1,-6,-1,1,-2,0,13,-6,-1.5,7.074995092
