Phototube Current (pA),,,,,,,,,,,Analysis,
Voltage (V),measurement 1,measurement 2,measurement 3,measurement 4,measurement 5,measurement 6,measurement 7,measurement 8,measurement 9,measurement 10,Mean,Standard Deviation
0,139,135,141,146,138,142,169,179,119,141,144.9,17.11042567
0.05,98,97,89,73,100,96,97,120,107,98,97.5,11.91870612
0.1,58,63,66,65,57,46,73,69,69,59,62.5,7.806692286
0.15,27,35,47,46,43,28,45,18,47,7,34.3,13.96065901
0.2,39,38,35,32,19,38,46,13,-7,16,26.9,16.2374738
0.25,20,15,11,23,3,24,8,20,17,18,15.9,6.740425308
0.3,10,17,7,12,-3,10,9,4,20,2,8.8,6.811754546
0.35,3,1,0,12,4,2,-19,11,7,9,3,8.793937306
0.4,5,2,7,5,8,6,4,2,5,6,5,1.943650632
0.45,-3,5,8,4,4,3,0,-13,9,6,2.3,6.429964576
0.5,-2,0,3,-8,-9,1,0,3,1,1,-1,4.216370214
0.55,-3,0,5,-6,-4,1,1,1,0,2,-0.3,3.198958164
0.6,-48,-6,-15,0,3,14,7,3,7,-3,-3.8,17.4534301
